192619815847


Total L1 Cache Miss: 	1621816353
Total L2 Cache Miss: 	1614228169
Total L3 Cache Miss: 	1577186153
Total FP Instructions: 	7821674271
Total Cycles: 		163020524288
Total Instructions: 	77326761772
192795528348


Total L1 Cache Miss: 	1622000644
Total L2 Cache Miss: 	1614910735
Total L3 Cache Miss: 	1576390325
Total FP Instructions: 	7824389283
Total Cycles: 		163302346177
Total Instructions: 	77326762469
192611931332


Total L1 Cache Miss: 	1621282623
Total L2 Cache Miss: 	1616513022
Total L3 Cache Miss: 	1568919761
Total FP Instructions: 	7816720555
Total Cycles: 		162901771676
Total Instructions: 	77326761749
192774354120


Total L1 Cache Miss: 	1621314619
Total L2 Cache Miss: 	1616780844
Total L3 Cache Miss: 	1576576799
Total FP Instructions: 	7813571489
Total Cycles: 		163038638870
Total Instructions: 	77326762445
190419679451


Total L1 Cache Miss: 	1622070326
Total L2 Cache Miss: 	1614384568
Total L3 Cache Miss: 	1536796729
Total FP Instructions: 	7839756579
Total Cycles: 		161481512770
Total Instructions: 	77326762349
190092380559


Total L1 Cache Miss: 	1623762739
Total L2 Cache Miss: 	1618796998
Total L3 Cache Miss: 	1535708646
Total FP Instructions: 	7821101013
Total Cycles: 		161110386474
Total Instructions: 	77326762313
189644185083


Total L1 Cache Miss: 	1627382531
Total L2 Cache Miss: 	1617842095
Total L3 Cache Miss: 	1527472634
Total FP Instructions: 	7839366777
Total Cycles: 		160867731157
Total Instructions: 	77326760820
190221015237


Total L1 Cache Miss: 	1622358906
Total L2 Cache Miss: 	1617415523
Total L3 Cache Miss: 	1539380731
Total FP Instructions: 	7842539506
Total Cycles: 		160925017059
Total Instructions: 	77326762361
190498199129


Total L1 Cache Miss: 	1622250504
Total L2 Cache Miss: 	1617425054
Total L3 Cache Miss: 	1532011142
Total FP Instructions: 	7829603381
Total Cycles: 		160867267110
Total Instructions: 	77326762335
190213900978


Total L1 Cache Miss: 	1623946919
Total L2 Cache Miss: 	1617840118
Total L3 Cache Miss: 	1534069831
Total FP Instructions: 	7833848738
Total Cycles: 		161200895301
Total Instructions: 	77326763067
