99316259


Total L1 Cache Miss: 	2373
Total L2 Cache Miss: 	1603
Total L3 Cache Miss: 	536
Total FP Instructions: 	75
Total Cycles: 		89161
Total Instructions: 	15583
98931493


Total L1 Cache Miss: 	2392
Total L2 Cache Miss: 	1592
Total L3 Cache Miss: 	544
Total FP Instructions: 	81
Total Cycles: 		95290
Total Instructions: 	15583
97480846


Total L1 Cache Miss: 	2317
Total L2 Cache Miss: 	1569
Total L3 Cache Miss: 	526
Total FP Instructions: 	87
Total Cycles: 		90888
Total Instructions: 	15569
98564322


Total L1 Cache Miss: 	2307
Total L2 Cache Miss: 	1527
Total L3 Cache Miss: 	468
Total FP Instructions: 	89
Total Cycles: 		88265
Total Instructions: 	15583
95381823


Total L1 Cache Miss: 	2384
Total L2 Cache Miss: 	1602
Total L3 Cache Miss: 	491
Total FP Instructions: 	80
Total Cycles: 		89984
Total Instructions: 	15594
99686245


Total L1 Cache Miss: 	2333
Total L2 Cache Miss: 	1542
Total L3 Cache Miss: 	547
Total FP Instructions: 	93
Total Cycles: 		95958
Total Instructions: 	15594
98663862


Total L1 Cache Miss: 	2417
Total L2 Cache Miss: 	1614
Total L3 Cache Miss: 	529
Total FP Instructions: 	86
Total Cycles: 		92231
Total Instructions: 	15594
98509341


Total L1 Cache Miss: 	2491
Total L2 Cache Miss: 	1663
Total L3 Cache Miss: 	520
Total FP Instructions: 	76
Total Cycles: 		92881
Total Instructions: 	15580
99156246


Total L1 Cache Miss: 	2463
Total L2 Cache Miss: 	1619
Total L3 Cache Miss: 	510
Total FP Instructions: 	84
Total Cycles: 		93121
Total Instructions: 	15650
95108285


Total L1 Cache Miss: 	2387
Total L2 Cache Miss: 	1610
Total L3 Cache Miss: 	470
Total FP Instructions: 	80
Total Cycles: 		91773
Total Instructions: 	15569
107899648


Total L1 Cache Miss: 	2443
Total L2 Cache Miss: 	1612
Total L3 Cache Miss: 	522
Total FP Instructions: 	75
Total Cycles: 		95436
Total Instructions: 	15689
98785136


Total L1 Cache Miss: 	2430
Total L2 Cache Miss: 	1604
Total L3 Cache Miss: 	546
Total FP Instructions: 	81
Total Cycles: 		95000
Total Instructions: 	15583
100394210


Total L1 Cache Miss: 	2444
Total L2 Cache Miss: 	1568
Total L3 Cache Miss: 	496
Total FP Instructions: 	57
Total Cycles: 		87690
Total Instructions: 	15617
96004251


Total L1 Cache Miss: 	2360
Total L2 Cache Miss: 	1613
Total L3 Cache Miss: 	525
Total FP Instructions: 	71
Total Cycles: 		92279
Total Instructions: 	15555
99964474


Total L1 Cache Miss: 	2325
Total L2 Cache Miss: 	1535
Total L3 Cache Miss: 	540
Total FP Instructions: 	83
Total Cycles: 		90879
Total Instructions: 	15583
100442567


Total L1 Cache Miss: 	2339
Total L2 Cache Miss: 	1540
Total L3 Cache Miss: 	555
Total FP Instructions: 	78
Total Cycles: 		94871
Total Instructions: 	15722
98318641


Total L1 Cache Miss: 	2352
Total L2 Cache Miss: 	1543
Total L3 Cache Miss: 	478
Total FP Instructions: 	75
Total Cycles: 		92891
Total Instructions: 	15583
98859661


Total L1 Cache Miss: 	2417
Total L2 Cache Miss: 	1589
Total L3 Cache Miss: 	525
Total FP Instructions: 	72
Total Cycles: 		95066
Total Instructions: 	15583
110884922


Total L1 Cache Miss: 	2390
Total L2 Cache Miss: 	1575
Total L3 Cache Miss: 	532
Total FP Instructions: 	76
Total Cycles: 		91840
Total Instructions: 	15667
99880628


Total L1 Cache Miss: 	2313
Total L2 Cache Miss: 	1519
Total L3 Cache Miss: 	542
Total FP Instructions: 	69
Total Cycles: 		89567
Total Instructions: 	15569
18870089405


Total L1 Cache Miss: 	2515
Total L2 Cache Miss: 	1649
Total L3 Cache Miss: 	881
Total FP Instructions: 	77
Total Cycles: 		124899
Total Instructions: 	15956
19038293637


Total L1 Cache Miss: 	2384
Total L2 Cache Miss: 	1615
Total L3 Cache Miss: 	788
Total FP Instructions: 	87
Total Cycles: 		110579
Total Instructions: 	15973
19276374208


Total L1 Cache Miss: 	2480
Total L2 Cache Miss: 	1644
Total L3 Cache Miss: 	886
Total FP Instructions: 	106
Total Cycles: 		121635
Total Instructions: 	15984
19043002828


Total L1 Cache Miss: 	2508
Total L2 Cache Miss: 	1613
Total L3 Cache Miss: 	885
Total FP Instructions: 	77
Total Cycles: 		120903
Total Instructions: 	15956
18972016236


Total L1 Cache Miss: 	2343
Total L2 Cache Miss: 	1521
Total L3 Cache Miss: 	805
Total FP Instructions: 	88
Total Cycles: 		104031
Total Instructions: 	15951
19122663995


Total L1 Cache Miss: 	2478
Total L2 Cache Miss: 	1600
Total L3 Cache Miss: 	853
Total FP Instructions: 	104
Total Cycles: 		111924
Total Instructions: 	15976
18437724735


Total L1 Cache Miss: 	2499
Total L2 Cache Miss: 	1634
Total L3 Cache Miss: 	878
Total FP Instructions: 	101
Total Cycles: 		118299
Total Instructions: 	15987
18760927043


Total L1 Cache Miss: 	2430
Total L2 Cache Miss: 	1559
Total L3 Cache Miss: 	846
Total FP Instructions: 	76
Total Cycles: 		110788
Total Instructions: 	15959
19011490054


Total L1 Cache Miss: 	2396
Total L2 Cache Miss: 	1573
Total L3 Cache Miss: 	829
Total FP Instructions: 	70
Total Cycles: 		111834
Total Instructions: 	15923
19084358471


Total L1 Cache Miss: 	2425
Total L2 Cache Miss: 	1590
Total L3 Cache Miss: 	814
Total FP Instructions: 	88
Total Cycles: 		108286
Total Instructions: 	15962
