504862328752


Total L1 Cache Miss: 	25882685664
Total L2 Cache Miss: 	25751952250
Total L3 Cache Miss: 	24931535972
Total FP Instructions: 	147971191576
Total Cycles: 		1850800371359
Total Instructions: 	1082571058092
503174483388


Total L1 Cache Miss: 	25870199238
Total L2 Cache Miss: 	25792542715
Total L3 Cache Miss: 	25597457214
Total FP Instructions: 	146389896975
Total Cycles: 		1855398834189
Total Instructions: 	1082571020618
498282799244


Total L1 Cache Miss: 	25877694014
Total L2 Cache Miss: 	25826104350
Total L3 Cache Miss: 	24748228800
Total FP Instructions: 	146249594322
Total Cycles: 		1837593491620
Total Instructions: 	1082571019371
497635866127


Total L1 Cache Miss: 	25878103765
Total L2 Cache Miss: 	25822663668
Total L3 Cache Miss: 	24714940797
Total FP Instructions: 	146285488494
Total Cycles: 		1835044911872
Total Instructions: 	1082571019221
503224701372


Total L1 Cache Miss: 	25870100060
Total L2 Cache Miss: 	25785781928
Total L3 Cache Miss: 	25617548160
Total FP Instructions: 	146311571108
Total Cycles: 		1855802472468
Total Instructions: 	1082571020577
498147750778


Total L1 Cache Miss: 	25881832888
Total L2 Cache Miss: 	25813739796
Total L3 Cache Miss: 	24740339331
Total FP Instructions: 	147877782541
Total Cycles: 		1837011758145
Total Instructions: 	1082571019243
498406036370


Total L1 Cache Miss: 	25879446316
Total L2 Cache Miss: 	25810707110
Total L3 Cache Miss: 	24749045892
Total FP Instructions: 	146239561791
Total Cycles: 		1837983023373
Total Instructions: 	1082571019341
503031450597


Total L1 Cache Miss: 	25869804897
Total L2 Cache Miss: 	25791347674
Total L3 Cache Miss: 	25584574982
Total FP Instructions: 	146384206688
Total Cycles: 		1854882676516
Total Instructions: 	1082571020552
497598778337


Total L1 Cache Miss: 	25877884237
Total L2 Cache Miss: 	25814668615
Total L3 Cache Miss: 	24732719074
Total FP Instructions: 	146284931055
Total Cycles: 		1834941812534
Total Instructions: 	1082571019199
496882582001


Total L1 Cache Miss: 	25879243556
Total L2 Cache Miss: 	25808901152
Total L3 Cache Miss: 	24713285985
Total FP Instructions: 	146306890807
Total Cycles: 		1832357603180
Total Instructions: 	1082571018978
