289661297


Total L1 Cache Miss: 	50346581
Total L2 Cache Miss: 	49333040
Total L3 Cache Miss: 	79174
Total FP Instructions: 	238683842
Total Cycles: 		1024877987
Total Instructions: 	2117676401
280198170


Total L1 Cache Miss: 	50339028
Total L2 Cache Miss: 	50006902
Total L3 Cache Miss: 	62148
Total FP Instructions: 	239235334
Total Cycles: 		1025995002
Total Instructions: 	2117676359
279961581


Total L1 Cache Miss: 	50352947
Total L2 Cache Miss: 	49311658
Total L3 Cache Miss: 	72343
Total FP Instructions: 	238559573
Total Cycles: 		1024859546
Total Instructions: 	2117676400
280380553


Total L1 Cache Miss: 	50337191
Total L2 Cache Miss: 	50206523
Total L3 Cache Miss: 	62835
Total FP Instructions: 	239281632
Total Cycles: 		1026754361
Total Instructions: 	2117676382
280559412


Total L1 Cache Miss: 	50358916
Total L2 Cache Miss: 	49468691
Total L3 Cache Miss: 	73740
Total FP Instructions: 	238656782
Total Cycles: 		1026270402
Total Instructions: 	2117676386
279343154


Total L1 Cache Miss: 	50333014
Total L2 Cache Miss: 	50148206
Total L3 Cache Miss: 	61525
Total FP Instructions: 	239230289
Total Cycles: 		1024926149
Total Instructions: 	2117676409
300256344


Total L1 Cache Miss: 	50340041
Total L2 Cache Miss: 	50212901
Total L3 Cache Miss: 	75270
Total FP Instructions: 	238888960
Total Cycles: 		1040018628
Total Instructions: 	2117676388
296073638


Total L1 Cache Miss: 	50315655
Total L2 Cache Miss: 	50213576
Total L3 Cache Miss: 	63607
Total FP Instructions: 	239320460
Total Cycles: 		1025087333
Total Instructions: 	2117676399
280699414


Total L1 Cache Miss: 	50334621
Total L2 Cache Miss: 	50229223
Total L3 Cache Miss: 	71143
Total FP Instructions: 	239286415
Total Cycles: 		1027618636
Total Instructions: 	2117676397
278799744


Total L1 Cache Miss: 	50388270
Total L2 Cache Miss: 	48333690
Total L3 Cache Miss: 	62538
Total FP Instructions: 	237662946
Total Cycles: 		1022204299
Total Instructions: 	2117676409
320622708


Total L1 Cache Miss: 	50327647
Total L2 Cache Miss: 	50222661
Total L3 Cache Miss: 	63235
